trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
974,12,12,0,3060.6709,11568.3545,115,22,0.316949,7,2,7,6,certificate
975,14,14,0,3714.4137,14882.0684,112,24,0.359151,7,2,7,6,certificate
976,14,14,0,2892.3653,10701.8266,114,24,0.473789,7,2,7,6,certificate
977,11,11,0,2977.4606,10847.3030,126,19,0.324763,7,2,7,6,certificate
978,15,15,0,4047.3970,15981.9851,130,26,0.301452,7,2,7,6,certificate
979,11,11,0,3634.9850,14104.9249,127,18,0.216595,7,3,7,6,certificate
980,13,13,0,3266.3701,12421.8507,120,22,0.317262,7,2,7,6,certificate
981,16,16,0,3638.5657,14207.8283,120,22,0.286779,7,3,6,5,certificate
982,14,14,0,3321.5366,12867.6828,114,24,0.305359,7,2,7,6,certificate
983,13,13,0,3567.1631,13980.8156,118,23,0.299944,7,2,7,6,certificate
984,12,12,0,2919.4940,10942.4702,112,21,0.294333,7,2,7,6,certificate
985,14,14,0,3157.2424,12061.2118,113,24,0.327148,7,2,7,6,certificate
986,13,13,0,3737.3859,14681.9293,123,22,0.226479,7,3,7,6,certificate
987,16,16,0,3949.1282,15300.6409,135,25,0.311273,7,2,7,6,certificate
988,11,11,0,2954.2180,11116.0900,113,19,0.306345,7,2,7,6,certificate
989,12,12,0,3474.2043,13451.0217,121,20,0.327859,7,2,7,6,certificate
990,13,13,0,3352.0849,12790.4243,122,20,0.346430,7,2,7,6,certificate
991,12,12,0,3465.1002,13490.5010,119,20,0.305625,7,2,7,6,certificate
992,15,15,0,3455.8259,13399.1295,117,23,0.258169,7,2,7,6,certificate
993,15,15,0,2973.1826,11165.9130,111,23,0.288390,7,2,7,6,certificate
994,12,12,0,3201.1973,12220.9865,117,21,0.355141,7,2,7,6,certificate
995,16,16,0,3386.2013,13126.0065,114,23,0.223165,7,2,6,5,certificate
996,14,14,0,3622.8458,13894.2288,129,22,0.262212,7,2,7,6,certificate
997,14,14,0,3449.1412,13850.7062,102,23,0.205354,7,2,7,6,certificate
998,13,13,0,3497.1494,13580.7471,120,20,0.144296,7,2,7,6,certificate
999,12,12,0,2980.1069,10780.5343,128,22,0.141029,7,2,7,6,certificate
