trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
0,11,11,0,3368.0290,13215.1452,112,18,0.284068,7,2,7,6,certificate
1,10,10,0,2993.7707,11068.8537,122,18,0.229474,7,2,7,6,certificate
2,15,15,0,3661.1061,14680.5303,109,23,0.240751,7,2,7,6,certificate
3,12,12,0,3471.1745,13265.8726,127,20,0.290054,7,2,7,6,certificate
4,14,14,0,3607.9149,14169.5744,118,24,0.256672,7,2,7,6,certificate
5,12,12,0,3846.5942,15087.9710,129,23,0.266889,7,2,7,6,certificate
6,11,11,0,3230.2306,12301.1529,119,19,0.254074,7,2,7,6,certificate
7,12,12,0,3348.8883,12714.4414,125,22,0.464024,7,3,7,6,certificate
8,13,13,0,3023.1508,11290.7539,117,21,0.296053,7,2,7,6,certificate
9,13,13,0,4003.8536,15564.2678,138,22,0.304642,7,3,7,6,certificate
10,11,11,0,2948.1106,11000.5528,116,21,0.284017,7,2,7,6,certificate
11,11,11,0,3198.8818,12129.4092,120,21,0.280947,7,2,7,6,certificate
12,12,12,0,3189.1554,11695.7768,132,21,0.285887,7,2,7,6,certificate
13,14,14,0,3123.8568,12004.2841,109,21,0.220082,7,2,7,6,certificate
14,10,10,0,3067.2353,11551.1764,118,17,0.238839,7,2,7,6,certificate
15,10,10,0,3177.5009,11947.5047,123,16,0.255157,7,2,7,6,certificate
16,13,13,0,3383.9395,12934.6975,123,26,0.539031,7,2,7,6,certificate
17,10,10,0,3019.2377,11341.1883,117,18,0.288533,7,2,7,6,certificate
18,11,11,0,2896.4593,10722.2965,117,21,0.305284,7,2,7,6,certificate
19,15,15,0,3608.3205,14111.6023,119,26,0.389032,7,2,7,6,certificate
20,11,11,0,3260.0778,12240.3890,126,21,0.254701,7,2,7,6,certificate
21,13,13,0,3598.9017,14399.5086,109,21,0.329067,7,2,7,6,certificate
22,11,11,0,2867.4174,10387.0871,123,21,0.360694,7,2,7,6,certificate
