trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
294,16,16,0,3720.9257,14819.6286,113,27,0.985208,7,2,certificate
295,15,15,0,3753.7766,14873.8828,118,28,1.024411,7,1,certificate
296,13,13,0,3571.7320,14033.6598,117,23,0.624907,7,2,certificate
297,16,16,0,3862.1466,15410.7330,117,28,1.131579,7,2,certificate
298,11,11,0,3438.4313,13002.1566,131,23,0.686020,7,2,certificate
299,16,16,0,3893.3669,15331.8347,125,31,1.633789,7,2,certificate
300,10,10,0,3453.6800,13283.4000,125,22,0.787324,7,2,certificate
301,16,16,0,3579.1861,14460.9303,102,25,0.638368,7,2,certificate
302,16,16,0,3733.8007,15079.0035,107,28,0.694947,7,2,certificate
303,10,10,0,2907.9717,10669.8584,121,20,0.853097,7,2,certificate
304,10,10,0,3134.3214,11886.6071,118,20,1.044060,7,2,certificate
305,13,13,0,3370.2581,13236.2905,110,22,0.621879,7,2,certificate
306,12,12,0,2619.1246,9425.6228,113,19,0.612834,7,2,certificate
307,10,10,0,3262.1283,11900.6413,139,23,0.632663,7,2,certificate
308,11,11,0,3116.5917,11722.9584,120,19,0.752684,7,2,certificate
309,12,12,0,2959.2447,10526.2234,133,21,0.729321,7,2,certificate
310,13,13,0,3830.2518,15201.2588,121,22,0.586852,7,2,certificate
311,11,11,0,3592.0098,13900.0492,127,22,0.639155,7,3,certificate
312,10,10,0,3968.1579,15255.7896,144,21,0.709709,7,2,certificate
313,13,13,0,3550.0450,13805.2251,121,24,1.020326,7,2,certificate
314,15,15,0,3553.7635,13813.8175,120,27,0.684801,7,2,certificate
315,16,16,0,3633.5008,14942.5041,95,24,0.512084,7,2,certificate
316,15,15,0,3620.8264,14139.1322,120,27,0.771277,7,2,certificate
317,14,14,0,2788.5273,10082.6367,117,24,2.142455,7,2,certificate
318,13,13,0,3937.0818,15420.4088,132,26,0.687088,7,2,certificate
319,16,16,0,3634.2508,14341.2542,115,27,1.062486,7,2,certificate
320,16,16,0,3795.0781,15775.3907,94,24,0.744873,7,2,certificate
321,15,15,0,4261.0686,17360.3428,120,24,0.674491,7,3,certificate
322,12,12,0,3104.6370,11523.1849,124,21,0.568639,7,2,certificate
323,12,12,0,3165.1484,12035.7422,116,20,0.767154,7,2,certificate
324,10,10,0,3388.5895,13012.9475,123,19,0.544858,7,2,certificate
325,16,16,0,3870.2642,15471.3212,117,30,1.036943,7,2,certificate
326,11,11,0,3579.2280,14006.1401,121,20,0.622089,7,2,certificate
327,15,15,0,3510.8991,13504.4956,123,26,1.009529,7,2,certificate
328,12,12,0,3869.6345,15458.1726,120,23,0.683337,7,2,certificate
329,16,16,0,3833.1095,14730.5474,135,29,0.735301,7,2,certificate
330,15,15,0,3682.9758,14434.8789,121,26,0.945795,7,2,certificate
331,15,15,0,3132.5674,11837.8368,116,24,0.887441,7,2,certificate
332,16,16,0,2897.2216,11071.1079,101,27,2.533371,7,2,certificate
333,14,14,0,3316.4977,12627.4885,121,25,0.684691,7,2,certificate
334,12,12,0,3821.7768,14898.8842,131,25,0.831709,7,2,certificate
335,14,14,0,3927.0305,15780.1526,117,25,0.983776,7,2,certificate
336,15,15,0,4117.8615,16419.3076,127,26,0.879889,7,2,certificate
337,16,16,0,3477.7986,13578.9932,114,25,0.877441,7,2,certificate
338,11,11,0,3207.2024,11966.0120,127,19,0.678056,7,2,certificate
339,10,10,0,3548.3110,13966.5552,118,23,1.079987,7,2,certificate
340,15,15,0,3635.5209,14372.6047,115,26,1.855370,7,2,certificate
341,15,15,0,3535.5800,14012.9001,110,23,0.662718,7,2,certificate
342,11,11,0,3233.6907,12243.4536,122,22,0.804042,7,2,certificate
343,15,15,0,3511.0136,13265.0680,131,25,0.801348,7,2,certificate
344,11,11,0,3000.4075,11197.0376,118,19,0.686023,7,2,certificate
345,16,16,0,4319.8914,17894.4571,111,29,0.897367,7,2,certificate
346,16,16,0,3623.0342,14220.1708,118,27,2.096766,7,2,certificate
347,12,12,0,3192.5688,11877.8438,127,21,0.527616,7,3,certificate
348,11,11,0,3313.2299,12821.1495,116,21,0.504782,7,3,certificate
