trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
888,14,14,0,3856.4617,14772.3087,139,26,1.998543,7,2,certificate
889,13,13,0,3863.9642,14824.8209,140,23,1.832640,7,2,certificate
890,10,10,0,3476.5862,13307.9311,128,20,0.681705,7,2,certificate
891,16,16,0,4011.9820,15464.9100,140,27,2.622005,7,2,certificate
892,15,15,0,3788.0296,14285.1481,143,24,0.737486,7,2,certificate
893,11,11,0,3495.4512,12417.2558,160,24,3.149745,7,2,certificate
894,10,10,0,3165.6389,11193.1947,146,19,3.286154,7,2,certificate
895,15,15,0,4208.6406,16163.2032,151,30,0.979417,7,2,certificate
896,11,11,0,3382.3696,12651.8478,133,21,2.590133,7,2,certificate
897,12,12,0,3404.9978,12749.9892,133,23,1.407380,7,3,certificate
898,14,14,0,3873.7979,14228.9895,160,27,0.923514,7,2,certificate
899,15,15,0,3758.0960,13025.4799,180,33,1.598216,7,2,certificate
900,14,14,0,3878.0970,14755.4849,144,26,2.557118,7,2,certificate
901,15,15,0,4667.5506,18047.7529,164,28,0.758571,7,2,certificate
902,16,16,0,4167.6021,16298.0103,139,27,2.100961,7,3,certificate
903,12,12,0,3542.6645,13128.3224,143,21,3.883756,7,2,certificate
904,15,15,0,4271.4506,15982.2530,168,27,2.228426,7,2,certificate
905,12,12,0,3635.1036,14145.5179,125,22,0.770714,7,2,certificate
906,15,15,0,3627.7113,13183.5565,153,26,2.986069,7,2,certificate
907,13,13,0,3567.4457,13572.2283,132,25,1.462548,7,2,certificate
908,14,14,0,3874.6811,14268.4055,159,27,3.411070,7,2,certificate
909,10,10,0,2988.0375,10625.1874,136,19,0.703792,7,2,certificate
910,14,14,0,4215.3158,16046.5791,157,28,1.826312,7,2,certificate
911,16,16,0,4169.1724,15365.8622,170,31,1.800397,7,3,certificate
912,11,11,0,3658.1213,13970.6067,136,24,2.161807,7,3,certificate
913,16,16,0,4038.7158,15398.5789,147,24,3.406458,7,2,certificate
914,10,10,0,2909.6795,9693.3976,154,20,1.080938,7,2,certificate
915,10,10,0,3049.4936,10687.4682,144,21,0.815905,7,2,certificate
916,16,16,0,4281.2768,17191.3839,128,28,2.173450,7,2,certificate
917,16,16,0,4313.6668,16468.3339,157,27,1.733917,7,2,certificate
918,16,16,0,4265.7533,16718.7664,141,29,2.872400,7,2,certificate
919,15,15,0,3944.9095,15309.5477,135,24,1.145821,7,2,certificate
920,10,10,0,3394.7174,12873.5871,129,21,1.028468,7,2,certificate
921,16,16,0,4042.7333,14713.6665,171,28,1.956033,7,2,certificate
922,16,16,0,3801.6140,13758.0702,162,26,2.062075,7,2,certificate
923,12,12,0,3776.9871,14219.9353,146,24,0.979291,7,2,certificate
924,15,15,0,3360.6475,11928.2375,151,26,1.485759,7,2,certificate
925,13,13,0,3809.0548,14270.2738,149,25,0.751173,7,3,certificate
926,15,15,0,4336.6539,16703.2697,154,29,1.860101,7,3,certificate
927,12,12,0,3102.1780,10905.8898,144,21,2.419521,7,2,certificate
928,12,12,0,3669.2936,13581.4680,149,21,0.917966,7,2,certificate
929,11,11,0,3566.9367,13444.6836,137,20,0.763903,7,2,certificate
930,16,16,0,4284.5174,16287.5871,159,29,2.005224,7,2,certificate
931,12,12,0,3537.8003,13149.0013,142,27,3.361237,7,2,certificate
932,11,11,0,3108.7287,11118.6437,139,20,1.900290,7,2,certificate
933,11,11,0,3434.7568,12438.7839,149,21,0.816871,7,2,certificate
934,14,14,0,3809.9737,14014.8685,157,24,1.994419,7,2,certificate
935,16,16,0,3411.6192,12608.0960,136,22,4.041182,7,2,certificate
936,13,13,0,3632.4664,13242.3322,154,22,0.619122,7,2,certificate
937,12,12,0,3586.5543,13457.7716,140,21,1.088256,7,2,certificate
938,11,11,0,3089.6668,11138.3342,135,20,1.176465,7,2,certificate
939,10,10,0,3458.8536,12319.2682,158,22,0.747333,7,3,certificate
940,12,12,0,2932.1174,10245.5872,138,21,1.462169,7,2,certificate
941,16,16,0,3874.5000,14747.5002,142,24,1.584013,7,2,certificate
942,11,11,0,3529.8601,12789.3005,154,22,0.825968,7,2,certificate
943,13,13,0,3790.3674,14591.8372,135,22,2.072887,7,2,certificate
944,11,11,0,3555.3362,13396.6808,137,18,2.848793,7,2,certificate
945,14,14,0,3742.4569,14182.2846,140,21,2.622065,7,2,certificate
946,11,11,0,3719.6379,14318.1897,134,22,2.015211,7,2,certificate
947,15,15,0,3451.2548,12196.2738,157,28,2.877008,7,2,certificate
948,14,14,0,3543.2229,12941.1143,148,25,0.729469,7,2,certificate
949,15,15,0,3600.7451,12713.7254,164,25,3.058474,7,2,certificate
950,15,15,0,4490.7020,17383.5100,157,27,0.702926,7,3,certificate
951,15,15,0,3678.0866,13405.4331,154,26,3.375449,7,2,certificate
952,13,13,0,3785.8332,14059.1660,152,25,1.809860,7,2,certificate
953,11,11,0,4011.6745,15643.3726,139,26,1.176218,7,2,certificate
954,15,15,0,3871.3802,14436.9011,152,26,1.774642,7,2,certificate
955,14,14,0,3826.7666,14283.8328,151,26,1.946656,7,2,certificate
956,12,12,0,3092.0312,10745.1562,148,20,0.944921,7,2,certificate
957,14,14,0,3853.4597,13997.2987,165,27,1.407935,7,2,certificate
958,10,10,0,3642.4941,13577.4707,147,21,0.997458,7,2,certificate
959,15,15,0,4100.4652,15792.3258,145,28,1.401157,7,2,certificate
960,11,11,0,3599.9142,13219.5709,151,22,1.076490,7,2,certificate
961,11,11,0,4040.5818,15712.9092,141,22,1.159343,7,2,certificate
962,15,15,0,3775.4655,14527.3276,133,25,2.283824,7,2,certificate
963,13,13,0,3704.6072,14383.0358,128,24,1.971015,7,2,certificate
964,15,15,0,3900.1004,14645.5020,150,24,1.563506,7,3,certificate
965,14,14,0,3405.0369,12575.1844,137,24,1.519700,7,2,certificate
966,16,16,0,3815.2263,14306.1316,147,29,3.563058,7,2,certificate
967,13,13,0,3499.2890,13191.4451,133,24,1.303804,7,2,certificate
968,16,16,0,3823.1402,14380.7010,145,24,1.936411,7,2,certificate
969,15,15,0,4114.8054,15089.0272,171,26,2.826138,7,2,certificate
970,13,13,0,3142.3606,10541.8030,162,25,0.644219,7,2,certificate
971,14,14,0,3638.0661,13220.3303,154,25,0.665555,7,2,certificate
972,15,15,0,3345.4587,11327.2937,168,27,0.974199,7,2,certificate
973,12,12,0,3327.6541,11578.2706,159,23,1.937603,7,2,certificate
974,12,12,0,4020.4679,15522.3397,143,22,0.783478,7,2,certificate
975,14,14,0,4156.6632,16138.3159,144,25,0.764543,7,2,certificate
976,14,14,0,3176.4442,11162.2208,146,22,2.067007,7,2,certificate
977,11,11,0,3122.0021,11065.0103,143,20,0.796281,7,2,certificate
978,15,15,0,4357.1823,16725.9116,158,28,1.085681,7,2,certificate
979,11,11,0,3556.8659,13079.3296,148,23,2.100014,7,2,certificate
980,13,13,0,3627.9713,13779.8565,135,23,2.572777,7,2,certificate
981,16,16,0,4162.8497,15849.2486,153,29,1.144138,7,2,certificate
982,14,14,0,3753.3863,14211.9317,140,24,1.484912,7,2,certificate
983,13,13,0,4129.0162,16340.0812,133,25,1.845332,7,2,certificate
984,12,12,0,3185.2600,11436.3000,140,20,0.620740,7,2,certificate
985,14,14,0,3605.3785,12881.8926,160,26,2.315171,7,2,certificate
986,13,13,0,3897.1423,14520.7117,155,25,0.437198,7,2,certificate
987,16,16,0,4200.6744,15543.3722,169,28,0.861256,7,3,certificate
988,11,11,0,2932.4976,9442.4881,165,23,0.832982,7,2,certificate
989,12,12,0,4356.7683,16883.8413,154,25,1.114344,7,3,certificate
990,13,13,0,4422.6405,17383.2025,148,26,2.341611,7,2,certificate
991,12,12,0,3996.1603,14955.8013,158,23,0.612096,7,2,certificate
992,15,15,0,3815.7679,14568.8393,138,25,1.520777,7,3,certificate
993,15,15,0,3274.9127,11784.5636,141,23,0.866373,7,2,certificate
994,12,12,0,3584.7840,12678.9199,165,22,0.729017,7,3,certificate
995,16,16,0,3669.0197,13695.0986,142,26,2.221848,7,3,certificate
996,14,14,0,4083.9371,15824.6857,142,26,1.803486,7,2,certificate
997,14,14,0,3720.4406,13937.2030,144,28,1.276493,7,2,certificate
998,13,13,0,4027.3682,15396.8411,148,23,0.274414,7,2,certificate
999,12,12,0,3567.1945,13190.9726,146,21,0.317214,7,2,certificate
