trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
161,15,11,15,11,0,6611.68,25058.4,255,40,40,19,epsilon,0.00256,1,0,10.543,
162,14,12,14,12,0,7180.66,26488.3,303,51,51,19,epsilon,0.00252,2,0,13.666,
163,13,4,13,4,0,6305.69,22378.5,296,47,47,19,epsilon,0.00262,0,0,14.556,
164,15,7,15,7,0,6146.39,22362.0,267,43,43,19,epsilon,0.00247,0,0,11.327,
165,11,6,11,6,0,6172.29,21786.5,294,39,39,19,epsilon,0.00263,2,0,6.032,
166,15,8,15,8,0,6994.18,26965.9,256,51,51,19,epsilon,0.00250,0,0,13.379,
167,16,12,16,12,0,6889.51,24992.6,303,57,57,19,certificate,0.00000,1,0,23.776,
168,11,4,11,4,0,6416.93,22104.7,324,43,43,19,epsilon,0.00266,0,0,26.065,
169,15,7,15,7,0,6088.92,21899.6,273,53,53,19,epsilon,0.00251,0,0,57.698,
170,12,8,12,8,0,6446.47,22562.4,313,50,50,19,epsilon,0.00256,0,0,25.297,
171,10,8,10,8,0,7132.53,24382.7,368,48,48,19,epsilon,0.00256,1,0,21.159,
172,16,10,16,10,0,5569.91,20774.6,225,52,52,15,certificate,0.00000,0,0,15.326,
173,14,10,14,10,0,6416.79,22958.9,296,50,50,19,epsilon,0.00252,1,0,15.256,
174,13,5,13,5,0,6043.49,21892.5,267,36,36,19,epsilon,0.00255,0,0,11.994,
175,16,10,16,10,0,7361.65,26843.2,321,77,77,15,certificate,0.00000,0,0,73.886,
176,14,6,14,6,0,7949.72,27903.6,384,81,81,19,epsilon,0.00256,0,1,57.432,
177,11,5,11,5,0,6211.28,21266.4,318,43,43,19,epsilon,0.00250,0,0,12.430,
178,10,1,10,1,0,6031.39,20241.9,323,42,42,19,epsilon,0.00248,0,0,17.878,
179,11,6,11,6,0,6327.20,21491.0,330,46,46,19,epsilon,0.00252,0,0,18.241,
180,16,8,16,8,0,5662.58,21132.9,227,44,44,14,certificate,0.00000,0,0,11.477,
181,13,5,13,5,0,6314.94,23154.7,270,42,42,19,epsilon,0.00251,3,0,12.323,
182,14,9,14,9,0,6898.35,24941.8,307,61,61,19,epsilon,0.00256,0,0,47.510,
183,10,5,10,5,0,6768.51,23837.5,326,50,50,19,epsilon,0.00253,1,0,20.008,
184,16,8,16,8,0,7244.03,26155.1,323,76,76,17,certificate,0.00000,1,0,65.993,
185,12,6,12,6,0,5635.38,20191.9,257,38,38,19,epsilon,0.00253,0,0,7.000,
186,16,10,16,10,0,7209.53,25907.7,326,64,64,17,certificate,0.00000,0,0,32.623,
187,14,9,14,9,0,7080.62,24213.1,363,54,54,19,epsilon,0.00246,0,0,39.879,
