trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,cover_snaps,n_cover_moves,stop_reason
503,14,14,0,3319.5807,12757.9034,117,25,0.343018,7,2,7,6,certificate
504,10,10,0,3134.2431,11961.2157,116,17,0.280617,7,2,7,6,certificate
505,11,11,0,3168.5864,11712.9320,129,19,0.276099,7,3,7,6,certificate
506,14,14,0,3979.8116,16179.0580,114,23,0.315641,7,2,7,6,certificate
507,11,11,0,3232.6890,12293.4450,120,18,0.266841,7,3,7,6,certificate
508,11,11,0,3488.4272,13662.1361,117,20,0.291687,7,2,7,6,certificate
509,15,15,0,3588.9820,13884.9102,123,25,0.415988,7,2,7,6,certificate
510,13,13,0,3555.7515,13663.7575,127,22,0.340871,7,2,7,6,certificate
511,10,10,0,3072.6854,11543.4272,120,22,0.379154,7,2,7,6,certificate
512,13,13,0,3086.4010,11917.0050,107,19,0.283842,7,2,7,6,certificate
513,12,12,0,3409.5280,13187.6399,119,19,0.275051,7,2,7,6,certificate
514,16,16,0,3465.9591,13139.7956,127,25,0.392188,7,2,6,5,certificate
515,11,11,0,4284.7364,17348.6819,127,19,0.286308,7,2,7,6,certificate
516,10,10,0,2519.1652,8905.8260,115,17,0.285151,7,2,7,6,certificate
517,14,14,0,3340.6207,12888.1034,116,23,0.292761,7,2,7,6,certificate
518,12,12,0,3028.2272,11276.1361,119,22,0.382249,7,4,7,6,certificate
519,12,12,0,3370.8798,12394.3990,139,23,0.326444,7,4,7,6,certificate
520,10,10,0,2920.7493,10673.7464,123,18,0.283832,7,2,7,6,certificate
521,10,10,0,2836.0331,10435.1657,117,19,0.340657,7,3,7,6,certificate
522,12,12,0,3012.6046,11258.0229,117,21,0.327699,7,2,7,6,certificate
523,15,15,0,3807.3921,15101.9605,119,27,0.533314,7,2,7,6,certificate
524,14,14,0,3613.2378,14131.1892,120,20,0.256547,7,2,7,6,certificate
525,10,10,0,3506.0045,13610.0227,123,17,0.274384,7,2,7,6,certificate
526,15,15,0,3977.7028,15933.5142,120,26,0.337690,7,2,7,6,certificate
527,12,12,0,3316.2971,12016.4855,142,22,0.319111,7,2,7,6,certificate
528,16,16,0,3936.3632,15546.8160,125,26,0.375080,7,2,7,6,certificate
529,11,11,0,3205.8480,12134.2398,121,18,0.288621,7,2,7,6,certificate
530,10,10,0,3092.9079,11684.5397,118,19,0.375390,7,2,7,6,certificate
531,12,12,0,3778.6077,14848.0385,125,20,0.287632,7,3,7,6,certificate
532,16,16,0,3313.9261,12484.6306,123,25,0.355507,7,2,7,6,certificate
533,12,12,0,3633.1853,13880.9267,133,20,0.310442,7,3,7,6,certificate
534,10,10,0,2948.6773,10863.3865,122,19,0.271813,7,2,7,6,certificate
535,14,14,0,3680.2082,14421.0412,122,29,0.382856,7,2,7,6,certificate
