trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
151,12,12,0,3761.0891,14195.4455,144,28,0.836443,7,2,certificate
152,12,12,0,3358.1390,12165.6949,145,27,0.504959,7,2,certificate
153,16,16,0,4393.1932,15900.9661,189,30,0.602026,7,2,certificate
154,15,15,0,3955.3656,14576.8280,162,29,1.290804,7,2,certificate
155,13,13,0,3926.2832,14126.4158,175,33,0.747873,7,3,certificate
156,10,10,0,3260.5162,11987.5808,136,20,0.415139,7,2,certificate
157,12,12,0,3474.3880,12321.9400,159,26,0.484523,7,2,certificate
158,11,11,0,3975.8920,15044.4602,153,35,1.143482,7,2,certificate
159,14,14,0,3755.9454,13284.7269,172,31,1.335358,7,2,certificate
160,14,14,0,4100.7076,15153.5378,168,27,1.631349,7,3,certificate
161,15,15,0,4154.8569,16199.2846,141,30,0.770204,7,2,certificate
162,14,14,0,4465.4759,16827.3796,173,36,1.152452,7,2,certificate
163,13,13,0,3563.1758,13160.8790,145,25,1.090798,7,2,certificate
164,15,15,0,4255.3695,16176.8476,158,29,0.491068,7,3,certificate
165,11,11,0,3599.9747,13589.8736,138,20,0.850378,7,2,certificate
166,15,15,0,4092.9960,15684.9799,149,29,0.986849,7,2,certificate
167,16,16,0,3706.1530,13330.7651,161,27,1.871610,7,3,certificate
168,11,11,0,3637.3653,13511.8265,147,25,0.525269,7,2,certificate
169,15,15,0,3657.5112,14112.5559,127,33,2.065111,7,2,certificate
170,12,12,0,3275.5601,12097.8004,133,24,0.842124,7,2,certificate
171,10,10,0,3507.2110,12931.0548,146,26,0.409678,7,2,certificate
172,16,16,0,3793.4999,14467.4993,137,30,2.088544,7,2,certificate
173,14,14,0,4314.4120,15702.0598,186,43,0.655962,7,2,certificate
174,13,13,0,4102.9145,14779.5723,181,35,0.604920,7,3,certificate
175,16,16,0,4416.2504,16316.2518,179,33,1.772573,7,2,certificate
176,14,14,0,3567.4429,12792.2143,157,24,0.402023,7,2,certificate
177,11,11,0,3350.4658,12087.3289,147,24,0.513532,7,2,certificate
178,10,10,0,3936.0937,14865.4683,153,24,0.667275,7,2,certificate
179,11,11,0,3698.9767,13414.8833,161,27,0.396360,7,2,certificate
180,16,16,0,3811.9235,14069.6176,153,29,0.876380,7,2,certificate
181,13,13,0,4092.6191,15228.0953,164,28,0.449615,7,3,certificate
182,14,14,0,3717.5825,13152.9124,170,29,0.998018,7,2,certificate
183,10,10,0,3803.0272,14315.1360,149,24,0.366712,7,3,certificate
184,16,16,0,6047.5132,22772.5660,253,29,0.692357,7,2,certificate
185,12,12,0,3916.5373,15142.6865,138,24,2.025555,7,3,certificate
186,16,16,0,3722.8162,13149.0808,169,30,1.438523,7,2,certificate
187,14,14,0,3731.2316,13651.1579,156,25,1.647397,7,2,certificate
188,16,16,0,3396.0835,12590.4173,134,26,1.132806,7,2,certificate
189,13,13,0,3677.9585,14029.7923,135,23,0.600453,7,2,certificate
190,14,14,0,3739.9172,13214.5859,172,27,0.652336,7,2,certificate
191,15,15,0,4550.8843,17919.4217,150,34,0.520092,7,2,certificate
192,11,11,0,3723.9857,13874.9287,150,30,1.069284,7,2,certificate
193,13,13,0,3156.4629,11027.3144,148,23,0.982444,7,2,certificate
194,11,11,0,3382.1951,11545.9757,170,23,0.890899,7,2,certificate
195,10,10,0,3680.6740,13423.3699,158,22,0.459462,7,2,certificate
196,12,12,0,4205.7890,16093.9448,155,26,0.649342,7,3,certificate
197,10,10,0,4104.6027,16098.0135,140,25,0.427950,7,2,certificate
198,13,13,0,4111.6148,14553.0738,190,33,0.975318,7,2,certificate
199,14,14,0,4145.7889,15443.9443,165,29,1.250538,7,2,certificate
