trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
327,15,15,0,4017.2407,16061.2035,122,24,0.566383,7,2,certificate
328,12,12,0,3379.6305,12948.1527,122,23,0.682486,7,2,certificate
329,16,16,0,3882.6399,15133.1995,130,29,0.721145,7,2,certificate
330,15,15,0,3551.9055,13989.5275,114,25,0.799386,7,2,certificate
331,15,15,0,3071.6837,11448.4185,118,25,0.773835,7,3,certificate
332,16,16,0,2910.7558,11163.7791,100,24,0.617407,7,2,certificate
333,14,14,0,3601.5320,14322.6598,112,23,0.665200,7,2,certificate
334,12,12,0,3411.1360,13110.6798,122,24,0.700117,7,2,certificate
335,14,14,0,3935.5377,15822.6887,117,25,0.982857,7,2,certificate
336,15,15,0,4071.0812,16090.4062,130,24,0.473904,7,2,certificate
337,16,16,0,3475.2054,13686.0269,110,28,0.705338,7,2,certificate
338,11,11,0,3242.2545,12226.2725,124,21,0.654736,7,2,certificate
339,10,10,0,3492.1069,13410.5345,127,22,0.796816,7,2,certificate
340,15,15,0,3657.5957,14657.9785,109,24,1.285864,7,2,certificate
341,15,15,0,2893.0041,10925.0204,106,23,0.583999,7,2,certificate
342,11,11,0,3237.3751,12201.8756,124,21,0.941364,7,2,certificate
343,15,15,0,3377.9961,12909.9805,121,29,0.763666,7,2,certificate
344,11,11,0,3140.5321,11637.6603,127,22,1.099325,7,2,certificate
345,16,16,0,4885.9305,20384.6526,122,25,0.686120,7,2,certificate
346,16,16,0,3918.4456,15902.2278,110,28,1.697049,7,2,certificate
347,12,12,0,3192.5550,11902.7752,126,20,0.674855,7,3,certificate
348,11,11,0,3448.2475,13446.2376,118,24,0.574720,7,3,certificate
349,12,12,0,4029.9915,16209.9577,122,22,0.422249,7,2,certificate
350,11,11,0,3215.3325,12126.6627,123,20,0.676088,7,2,certificate
351,13,13,0,3513.8607,13379.3034,129,24,0.940890,7,2,certificate
352,16,16,0,3464.1645,13125.8225,127,26,0.752305,7,2,certificate
353,15,15,0,4121.7366,16153.6829,136,28,0.722649,7,2,certificate
354,14,14,0,3543.9814,13604.9069,126,23,0.824478,7,2,certificate
355,15,15,0,3499.9274,13689.6369,115,26,0.635859,7,2,certificate
356,15,15,0,3608.8977,14204.4887,116,23,1.474861,7,2,certificate
357,16,16,0,3976.9768,16494.8838,100,26,0.790480,7,2,certificate
358,16,16,0,3700.0703,14465.3516,121,28,0.841096,7,2,certificate
359,12,12,0,3289.3686,12396.8430,125,24,0.558159,7,2,certificate
360,13,13,0,3291.6035,12108.0177,135,21,0.614055,7,2,certificate
361,12,12,0,3543.1545,13675.7727,125,25,0.732413,7,2,certificate
362,14,14,0,3639.6650,14463.3248,114,25,0.889327,7,2,certificate
363,10,10,0,3043.9745,11254.8727,124,19,0.568938,7,2,certificate
364,10,10,0,3569.7480,13918.7402,123,21,0.801374,7,2,certificate
365,14,14,0,3457.4883,13587.4413,112,23,0.716949,7,2,certificate
366,16,16,0,3542.1959,14155.9793,105,23,0.559991,7,2,certificate
367,11,11,0,3387.1252,13260.6259,114,22,0.580845,7,2,certificate
368,16,16,0,3402.2592,13361.2958,109,24,1.108936,7,2,certificate
369,10,10,0,3683.6963,14228.4813,132,18,0.411305,7,3,certificate
370,16,16,0,4344.7912,17778.9561,119,28,0.686171,7,2,certificate
371,16,16,0,3551.1489,13425.7443,133,27,0.663194,7,2,certificate
372,13,13,0,3856.7517,15608.7586,112,21,0.737850,7,2,certificate
373,16,16,0,4228.5409,17137.7047,121,32,1.204984,7,2,certificate
374,16,16,0,3514.9165,13924.5827,109,24,0.721240,7,2,certificate
375,14,14,0,3508.9570,13294.7851,131,29,0.932879,7,2,certificate
376,15,15,0,4233.3791,16791.8956,134,25,0.696677,7,2,certificate
377,14,14,0,3641.1855,14290.9277,119,25,0.676456,7,2,certificate
378,14,14,0,3284.4241,12372.1206,123,24,0.672357,7,2,certificate
379,13,13,0,3677.5398,14297.6990,126,28,0.755538,7,2,certificate
380,10,10,0,3554.2703,13631.3517,132,34,1.019689,7,2,certificate
381,16,16,0,3697.5174,14812.5868,110,28,0.799370,7,2,certificate
382,10,10,0,3208.2729,12416.3644,113,20,0.500649,7,2,certificate
383,12,12,0,3792.2608,14681.3040,133,24,0.914020,7,2,certificate
384,15,15,0,4000.6078,16133.0391,117,25,1.216175,7,2,certificate
385,12,12,0,3549.7199,14043.5997,114,19,0.518962,7,2,certificate
386,12,12,0,3544.7776,13893.8881,118,22,0.706103,7,2,certificate
387,10,10,0,3548.0333,13785.1667,125,17,0.548153,7,2,certificate
388,14,14,0,3882.6127,15823.0633,108,24,0.636375,7,2,certificate
389,15,15,0,3867.6791,15468.3954,117,27,0.943397,7,2,certificate
390,11,11,0,3182.1698,12080.8489,119,19,0.625636,7,2,certificate
391,14,14,0,4531.0278,18780.1388,118,24,0.549905,7,2,certificate
392,12,12,0,3950.2597,15651.2986,127,22,0.628777,7,2,certificate
393,16,16,0,4048.8694,16284.3469,119,27,0.775032,7,2,certificate
394,14,14,0,4550.6380,18568.1902,128,24,0.589448,7,2,certificate
395,14,14,0,3550.7728,14088.8640,111,22,0.786460,7,2,certificate
396,11,11,0,3177.9845,12294.9224,111,21,0.756312,7,2,certificate
397,16,16,0,3361.1130,13365.5651,102,23,0.705897,7,2,certificate
398,14,14,0,5295.6326,21713.1629,147,38,0.849646,7,2,certificate
399,11,11,0,3227.7967,12308.9834,119,20,0.810563,7,2,certificate
