trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear
2071,16,16,0,4036.0252,15025.1262,159,27,2.343274,7,2
2072,12,12,0,3172.1960,11860.9801,124,23,1.554423,6,2
2073,15,15,0,3568.0169,12795.0845,155,25,0.707509,7,2
2074,12,12,0,3758.8248,13674.1241,161,22,0.993045,7,2
2075,14,14,0,3599.5871,13207.9355,149,28,1.167246,6,3
2076,15,15,0,4679.9322,18564.6611,149,29,4.529499,7,2
2077,13,13,0,4347.7210,16688.6048,158,32,4.071891,7,2
2078,15,15,0,4318.5708,16307.8542,164,29,2.878172,7,2
2079,11,11,0,4225.7213,16338.6067,151,28,1.299383,7,2
2080,16,16,0,4235.0719,15540.3597,175,33,2.646266,7,2
2081,11,11,0,3750.8064,13964.0319,151,27,1.725151,7,3
2082,16,16,0,3876.9492,14419.7462,153,36,3.947488,7,2
2083,10,10,0,3882.5168,14707.5842,149,29,2.145524,6,2
2084,10,10,0,3250.2220,12021.1100,133,19,0.681978,7,2
2085,15,15,0,4102.2610,15761.3048,147,30,4.575957,7,2
2086,13,13,0,4324.4745,16442.3723,161,29,0.948339,7,2
2087,14,14,0,3272.0475,11720.2375,144,25,1.562943,6,2
2088,10,10,0,3662.4192,14062.0962,134,19,0.743696,7,2
2089,15,15,0,3515.4654,12442.3269,159,27,0.967593,7,2
2090,10,10,0,3726.9071,13704.5353,157,25,0.951478,7,2
2091,15,15,0,3947.4195,13492.0977,197,34,1.285090,7,2
2092,11,11,0,3674.4069,14122.0345,133,31,1.706842,6,2
2093,16,16,0,4180.7243,15163.6215,178,36,4.480339,7,2
2094,10,10,0,3383.3786,11426.8932,175,26,1.333440,7,2
2095,14,14,0,3901.3821,14816.9103,146,31,2.190884,7,2
2096,13,13,0,3860.5469,15082.7344,131,24,2.456202,6,2
2097,16,16,0,3434.3706,12741.8528,135,24,1.620800,7,2
2098,10,10,0,2933.9318,10409.6592,134,18,0.761288,7,2
2099,13,13,0,3673.4020,13577.0098,150,25,0.903242,7,2
2100,16,16,0,4261.8423,16379.2117,152,31,1.173307,7,2
2101,12,12,0,3955.9288,14169.6440,178,27,1.440018,7,2
2102,13,13,0,3185.9107,11694.5533,131,22,1.052774,6,2
2103,10,10,0,3262.1599,11845.7997,141,19,1.877956,6,2
2104,16,16,0,4016.4273,14987.1366,157,31,0.995521,7,2
2105,12,12,0,4090.2469,15186.2346,166,29,0.705532,7,3
2106,10,10,0,3032.4712,9882.3559,168,24,0.769876,7,2
2107,14,14,0,4266.3383,15436.6914,186,43,2.154331,7,2
2108,15,15,0,4413.1294,16870.6472,161,35,5.410398,7,3
2109,12,12,0,3654.1615,12860.8077,171,29,1.747332,7,2
2110,14,14,0,3905.0617,14000.3083,173,28,0.850399,7,3
2111,15,15,0,3788.7412,13648.7061,165,30,1.436476,6,2
2112,16,16,0,3583.6723,13028.3615,151,29,1.691242,7,2
2113,11,11,0,3906.9439,14414.7197,162,22,1.470232,7,2
2114,15,15,0,4631.9718,16724.8588,203,34,1.054829,7,2
2115,10,10,0,2968.0731,10260.3656,145,22,1.011419,7,2
2116,12,12,0,3233.6387,11348.1936,151,26,2.756660,6,2
2117,15,15,0,3775.8054,14079.0271,148,28,0.815444,7,2
2118,10,10,0,4122.7359,15798.6793,154,34,1.064764,7,2
2119,13,13,0,3909.7810,14098.9048,172,27,1.149880,7,2
2120,14,14,0,3662.0183,13445.0915,151,30,3.370642,7,2
2121,15,15,0,4471.2963,16471.4813,185,34,2.503266,7,2
2122,10,10,0,3253.7389,12373.6943,122,20,0.495061,6,2
2123,13,13,0,3964.7196,14423.5982,170,33,0.725936,7,2
2124,12,12,0,4284.6829,16608.4146,153,28,1.382311,7,2
2125,11,11,0,3415.4379,13002.1894,127,25,1.402298,7,2
2126,12,12,0,3660.5214,13467.6068,152,28,0.589140,7,2
2127,10,10,0,3796.8716,14574.3580,139,22,0.522914,7,2
2128,12,12,0,3539.3345,13196.6727,140,23,0.782869,6,2
2129,16,16,0,4286.5254,15717.6272,178,29,2.453910,7,2
2130,12,12,0,3564.7427,13333.7136,140,28,2.460064,7,2
2131,10,10,0,3430.3183,12811.5916,137,23,1.280838,7,2
2132,14,14,0,4010.9211,15064.6054,156,31,1.187062,6,2
2133,14,14,0,4199.5881,16322.9403,145,24,1.229597,7,3
2134,16,16,0,4113.7240,14528.6201,190,34,4.161120,7,2
2135,11,11,0,3746.8345,14669.1727,128,27,1.102984,6,2
2136,13,13,0,4042.8708,14549.3541,179,31,3.629907,7,3
2137,13,13,0,4089.8039,15429.0193,157,28,2.306202,7,2
2138,14,14,0,3314.6007,11758.0033,149,25,3.816145,7,2
2139,10,10,0,2821.9707,10089.8536,126,18,1.163290,6,2
2140,12,12,0,3908.3682,14826.8408,148,30,1.573745,7,2
2141,12,12,0,3275.8159,11709.0795,146,25,0.942056,7,2
2142,11,11,0,3444.5105,12672.5526,143,22,0.704348,7,2
2143,13,13,0,4234.8414,16229.2071,155,38,1.303254,7,2
2144,12,12,0,4250.5675,16362.8374,154,30,1.042163,7,2
2145,11,11,0,3744.3056,14076.5282,146,27,1.387301,7,2
2146,11,11,0,3392.8264,12229.1319,149,20,1.167881,7,2
2147,12,12,0,4519.6685,17868.3427,148,29,0.860941,7,2
2148,16,16,0,4354.7632,16358.8161,168,33,1.478153,7,2
2149,14,14,0,3493.1892,12640.9459,150,25,1.328412,7,2
2150,12,12,0,3901.3189,15136.5945,136,27,1.645667,7,2
2151,10,10,0,3316.3558,11846.7789,150,22,1.596700,7,2
2152,10,10,0,3421.1615,12435.8077,148,27,0.915091,6,2
2153,13,13,0,4377.2837,16106.4184,182,29,1.294144,7,3
2154,11,11,0,3571.4292,13462.1458,138,24,1.509366,7,2
2155,14,14,0,3707.5503,13417.7515,159,24,0.665254,7,3
2156,14,14,0,3313.0759,12290.3794,132,26,3.299744,6,2
2157,16,16,0,3679.8365,13479.1824,151,23,1.454107,7,2
2158,13,13,0,3885.2463,14541.2315,152,32,3.485160,7,2
2159,14,14,0,4476.5699,17477.8493,152,26,1.894826,7,2
2160,11,11,0,3711.7196,13973.5981,145,26,1.461483,7,2
2161,14,14,0,3441.4107,12557.0534,144,24,2.244281,7,2
2162,16,16,0,4042.8626,15114.3132,158,34,1.265395,7,2
2163,16,16,0,4132.7553,15873.7767,147,31,2.894112,7,2
2164,11,11,0,3295.9870,12719.9348,117,24,1.494800,6,2
2165,13,13,0,3649.4402,13832.2008,137,24,1.974609,7,2
2166,16,16,0,3902.2404,14316.2019,160,28,1.243052,7,2
2167,16,16,0,3454.8476,12549.2379,145,26,2.887322,7,2
2168,16,16,0,3910.6895,14508.4476,156,31,2.155541,7,2
2169,12,12,0,4158.2742,15891.3709,154,30,3.015538,7,2
2170,14,14,0,4428.5442,16597.7208,175,38,4.057217,7,2
2171,12,12,0,4419.6007,17458.0035,146,26,1.794792,7,2
2172,16,16,0,4109.5371,15742.6854,148,29,3.296597,7,2
2173,12,12,0,3367.7227,12148.6136,147,27,1.574777,7,2
2174,11,11,0,3169.4143,11377.0714,140,23,1.083895,6,2
2175,14,14,0,3880.9559,14754.7794,144,25,1.747922,7,3
2176,12,12,0,3672.4315,13142.1577,164,30,2.118159,6,2
2177,16,16,0,4192.9745,15579.8724,168,32,2.218436,7,2
2178,15,15,0,3796.3066,13936.5332,157,25,3.054832,7,2
2179,13,13,0,4052.5323,15337.6617,154,34,1.865028,7,2
2180,15,15,0,3809.8955,14059.4774,154,30,3.370078,7,2
2181,10,10,0,3860.2183,14796.0913,142,25,0.805293,7,2
2182,16,16,0,4843.8971,19014.4854,162,39,3.637650,7,2
2183,15,15,0,3977.2426,15276.2132,142,29,2.743530,7,2
2184,15,15,0,3686.3768,13921.8839,139,29,2.074319,7,2
2185,14,14,0,4174.8516,15759.2581,159,34,1.719111,7,2
2186,13,13,0,3735.1801,14055.9007,144,27,1.302481,7,2
2187,12,12,0,3425.7804,12423.9018,147,24,1.328940,7,2
2188,16,16,0,3996.0310,14400.1549,173,30,1.736984,7,2
2189,12,12,0,3797.0058,14475.0291,141,25,0.585543,7,2
2190,13,13,0,3238.4754,10987.3772,163,23,0.781526,6,2
2191,16,16,0,4344.0345,16800.1725,151,29,0.593233,7,3
2192,11,11,0,3404.7079,12393.5396,146,24,0.675931,7,2
2193,16,16,0,4680.9269,18119.6344,165,33,2.118713,7,2
2194,16,16,0,3991.3117,14351.5586,174,31,1.436930,7,3
2195,13,13,0,4059.2685,15136.3427,162,29,1.408496,7,2
2196,10,10,0,4537.5451,14407.7254,291,29,0.773835,7,2
2197,14,14,0,4165.8697,15879.3485,154,27,0.930754,7,2
2198,11,11,0,3965.0464,15050.2321,152,32,0.675835,7,2
2199,13,13,0,3694.2548,13171.2740,166,25,1.277596,7,3
2200,12,12,0,3293.4999,11887.4995,143,21,0.442925,7,2
2201,10,10,0,3933.7948,14908.9741,151,21,0.629103,7,3
2202,12,12,0,4433.1604,17540.8019,145,28,1.117673,7,2
2203,10,10,0,3279.9665,12259.8326,130,22,1.814318,6,2
2204,16,16,0,4041.2406,15431.2028,147,29,3.949681,7,2
2205,15,15,0,4045.3456,14961.7282,164,30,2.336156,7,2
2206,13,13,0,4148.2046,15471.0229,165,25,1.881560,7,2
2207,13,13,0,3075.1967,10305.9836,158,23,1.772023,6,2
2208,11,11,0,3738.9488,13809.7439,154,25,1.420304,7,2
2209,11,11,0,3789.7697,14578.8485,137,25,1.004951,7,2
2210,16,16,0,4026.5623,14782.8114,166,30,1.330030,7,2
2211,13,13,0,4352.1477,16865.7386,152,23,0.784135,7,3
2212,15,14,1,5088.9900,20959.9498,141,160,5.473088,7,2
2213,12,12,0,3773.6349,14323.1746,143,33,2.583418,6,2
2214,14,14,0,3614.6083,13203.0417,152,29,1.690634,6,2
