trial,n_sources,n_dir,cleared,dir_cleared,remaining,time_s,walk_m,measures,replans,steps,cover_visits,stop_reason,final_mean_mass,station_silent,probe_silent,wall_s,left
383,12,7,12,7,0,6318.97,22499.9,294,42,42,19,epsilon,0.00252,1,0,8.942,
384,15,4,15,4,0,6119.15,22350.8,264,47,47,19,epsilon,0.00246,0,0,9.339,
385,12,4,12,4,0,6756.98,23339.9,339,56,56,19,epsilon,0.00256,0,0,38.805,
386,12,4,12,4,0,6586.32,23976.6,290,44,44,19,epsilon,0.00250,1,0,18.164,
387,10,4,10,4,0,5608.13,20115.7,258,35,35,19,epsilon,0.00256,1,0,3.930,
388,14,6,14,6,0,6592.31,24051.6,286,56,56,19,epsilon,0.00252,0,0,16.007,
389,15,5,15,5,0,6601.86,24384.3,279,64,64,19,epsilon,0.00251,0,0,24.821,
390,11,3,11,3,0,5911.50,20552.5,292,37,37,19,epsilon,0.00253,0,0,9.235,
391,14,6,14,6,0,6969.15,24705.8,328,61,61,19,epsilon,0.00251,0,0,32.146,
392,12,6,12,6,0,6640.80,24409.0,284,46,46,19,epsilon,0.00256,0,0,11.589,
393,16,8,16,8,0,6499.99,25060.0,239,62,62,12,certificate,0.00000,0,0,43.322,
394,14,7,14,7,0,6407.08,23220.4,283,50,50,19,epsilon,0.00252,2,0,18.435,
395,14,6,14,6,0,6596.18,24065.9,287,60,60,19,epsilon,0.00252,1,0,17.000,
396,11,4,11,4,0,6152.46,22007.3,284,40,40,19,epsilon,0.00251,0,0,6.150,
397,16,10,16,10,0,7006.19,24245.9,347,72,72,17,certificate,0.00000,1,0,43.454,
398,14,9,14,9,0,6252.63,22663.2,275,44,44,19,epsilon,0.00251,1,0,8.623,
399,11,4,11,4,0,6143.81,21774.1,290,46,46,19,epsilon,0.00256,0,0,13.414,
400,16,5,16,5,0,6464.20,23166.0,295,55,55,17,certificate,0.00000,0,0,21.417,
401,14,8,14,8,0,6905.31,25851.5,279,42,42,19,epsilon,0.00247,0,0,15.826,
402,10,5,10,5,0,6178.76,21573.8,303,39,39,19,epsilon,0.00253,0,0,7.411,
403,11,4,11,4,0,6727.20,24191.0,308,56,56,19,epsilon,0.00253,0,0,22.810,
404,10,7,10,7,0,6235.90,22584.5,279,37,37,19,epsilon,0.00251,0,0,7.605,
405,14,6,14,6,0,6568.01,24055.1,283,60,60,19,epsilon,0.00252,0,0,24.402,
406,16,8,16,8,0,7061.26,23021.3,397,67,67,16,certificate,0.00000,1,0,76.863,
407,10,6,10,6,0,6416.26,23176.3,290,41,41,19,epsilon,0.00247,0,0,12.313,
408,13,6,13,6,0,6468.79,23178.9,296,42,42,19,epsilon,0.00256,0,0,10.460,
409,14,9,14,9,0,6384.81,23719.0,263,46,46,19,epsilon,0.00252,1,0,9.980,
410,11,7,11,7,0,6782.91,24374.5,310,47,47,19,epsilon,0.00253,2,0,23.880,
411,15,9,15,9,0,7187.35,27086.7,285,63,63,19,epsilon,0.00246,0,0,28.864,
412,15,9,15,9,0,5663.04,20215.2,259,43,43,19,epsilon,0.00249,0,0,11.434,
413,13,5,13,5,0,6706.56,25032.8,273,46,46,19,epsilon,0.00256,0,0,13.732,
414,11,7,11,7,0,7658.38,27401.9,357,67,67,19,epsilon,0.00250,0,0,34.514,
415,16,8,16,8,0,4756.43,16372.1,235,45,45,12,certificate,0.00000,0,0,15.346,
416,14,10,14,10,0,6444.17,24185.8,257,47,47,19,epsilon,0.00256,7,0,9.563,
417,14,5,14,5,0,6019.56,21232.8,284,42,42,19,epsilon,0.00256,0,0,9.877,
418,10,6,10,6,0,6493.58,22447.9,326,34,34,19,epsilon,0.00253,0,0,5.451,
419,15,7,15,7,0,6350.13,22645.6,292,54,54,19,epsilon,0.00250,0,0,33.555,
420,10,4,10,4,0,5841.28,19891.4,303,34,34,19,epsilon,0.00256,1,0,9.477,
421,11,7,11,7,0,7364.91,25719.6,362,60,60,19,epsilon,0.00245,0,0,33.045,
422,13,5,13,5,0,6331.57,22682.8,289,40,40,19,epsilon,0.00252,0,0,7.655,
423,14,6,14,6,0,6531.44,21852.2,351,60,60,19,epsilon,0.00251,0,0,64.450,
424,15,10,15,10,0,7345.66,26133.3,342,54,54,19,epsilon,0.00251,0,0,20.653,
425,13,5,13,5,0,6875.02,25230.1,295,57,57,19,epsilon,0.00252,0,0,25.757,
426,10,6,10,6,0,6777.38,23876.9,326,46,46,19,epsilon,0.00256,1,0,10.096,
427,13,4,13,4,0,7533.38,27861.9,318,68,68,19,epsilon,0.00252,12,0,41.112,
428,15,6,15,6,0,7181.82,25769.1,326,55,55,19,epsilon,0.00256,0,0,33.276,
429,11,5,11,5,0,6430.83,21549.2,346,59,59,19,epsilon,0.00256,1,0,23.572,
430,16,13,16,13,0,6080.70,21018.5,301,62,62,14,certificate,0.00000,0,0,32.595,
431,16,10,16,10,0,6830.96,26324.8,250,62,62,18,certificate,0.00000,0,0,28.659,
432,10,8,10,8,0,6513.43,23067.1,309,37,37,19,epsilon,0.00256,1,0,5.860,
433,14,7,14,7,0,6651.30,25096.5,261,42,42,19,epsilon,0.00256,1,0,9.426,
434,15,7,15,7,0,7687.17,27440.8,354,67,67,19,epsilon,0.00251,0,0,42.178,
435,14,5,14,5,0,7438.47,26457.4,347,72,72,19,epsilon,0.00252,0,0,89.477,
436,11,5,11,5,0,6561.40,23422.0,305,48,48,19,epsilon,0.00253,1,0,23.108,
437,14,3,14,3,0,6564.65,23153.3,311,45,45,19,epsilon,0.00240,0,0,10.448,
438,14,5,14,5,0,6526.76,24203.8,271,55,55,19,epsilon,0.00256,0,0,17.966,
439,16,10,16,10,0,6752.97,25229.9,275,60,60,17,certificate,0.00000,0,0,24.811,
440,15,5,15,5,0,6916.87,24784.3,317,68,68,19,epsilon,0.00251,0,0,35.907,
441,13,7,13,7,0,6518.14,22890.7,314,53,53,19,epsilon,0.00256,0,0,20.807,
442,13,11,13,11,0,6781.56,23282.8,344,50,50,19,epsilon,0.00256,0,0,29.113,
443,16,5,16,5,0,5193.18,18835.9,225,45,45,13,certificate,0.00000,0,0,39.328,
444,16,7,16,7,0,7370.37,24221.8,408,70,70,14,certificate,0.00000,1,0,64.074,
445,12,7,12,7,0,6248.29,22661.5,278,44,44,19,epsilon,0.00252,0,0,10.084,
446,11,6,11,6,0,6355.83,23184.2,279,43,43,19,epsilon,0.00253,0,0,10.827,
447,10,5,10,5,0,6627.39,23662.0,308,42,42,19,epsilon,0.00256,1,0,14.206,
448,11,9,11,9,0,6990.52,23882.6,361,58,58,19,epsilon,0.00250,0,0,60.093,
449,10,7,10,7,0,6910.08,24150.4,342,57,57,19,epsilon,0.00254,0,0,34.712,
450,10,3,10,3,0,7308.77,26283.9,338,63,63,19,epsilon,0.00256,0,0,33.598,
451,12,7,12,7,0,6605.61,22698.1,335,63,63,19,epsilon,0.00250,0,0,32.929,
452,10,5,10,5,0,6369.35,23096.7,283,35,35,19,epsilon,0.00253,1,0,5.863,
453,10,4,10,4,0,5878.80,19994.0,308,45,45,19,epsilon,0.00253,0,0,11.510,
454,10,4,10,4,0,5457.27,18771.3,276,35,35,19,epsilon,0.00256,0,0,5.223,
455,15,12,15,12,0,7380.20,26711.0,328,64,64,19,epsilon,0.00256,0,0,22.406,
456,11,6,11,6,0,6581.73,23253.7,315,55,55,19,epsilon,0.00237,0,0,14.414,
457,13,6,13,6,0,7466.70,26648.5,346,56,56,19,epsilon,0.00248,1,0,35.265,
458,11,6,11,6,0,6955.87,24964.3,319,47,47,19,epsilon,0.00243,0,0,13.371,
459,16,11,16,11,0,6153.22,22666.1,259,56,56,17,certificate,0.00000,0,0,27.368,
460,15,4,15,4,0,6880.60,25608.0,283,59,59,19,epsilon,0.00241,0,0,24.522,
461,14,7,14,7,0,8474.23,30181.2,396,70,70,19,epsilon,0.00239,0,0,58.306,
462,11,5,11,5,0,6243.40,21782.0,306,44,44,19,epsilon,0.00255,0,0,22.647,
463,13,7,13,7,0,6228.00,22210.0,288,44,44,19,epsilon,0.00256,1,0,7.988,
464,13,8,13,8,0,6958.02,26075.1,280,49,49,19,epsilon,0.00256,0,0,24.859,
465,16,7,16,7,0,6262.84,21399.2,318,54,54,15,certificate,0.00000,3,0,34.702,
466,15,9,15,9,0,6731.32,26001.6,245,54,54,19,epsilon,0.00256,1,0,20.893,
467,15,11,15,11,0,6758.85,24124.3,311,58,58,19,epsilon,0.00251,0,0,39.180,
468,16,13,16,13,0,6930.65,24908.3,313,59,59,17,certificate,0.00000,0,0,20.049,
469,14,6,14,6,0,6646.94,23384.7,318,56,56,19,epsilon,0.00254,0,0,21.868,
470,12,4,12,4,0,7271.58,26997.9,303,56,56,19,epsilon,0.00253,0,0,25.249,
471,16,9,16,9,0,6633.32,23161.6,321,53,53,17,certificate,0.00000,0,0,26.658,
472,12,4,12,4,0,6448.81,23564.0,280,52,52,19,epsilon,0.00252,0,0,20.077,
473,10,4,10,4,0,6670.58,22197.9,364,48,48,19,epsilon,0.00253,0,0,22.616,
474,11,6,11,6,0,7637.70,26503.5,381,67,67,19,epsilon,0.00254,0,0,37.722,
475,14,8,14,8,0,6347.96,23289.8,272,47,47,19,epsilon,0.00256,1,0,13.982,
476,11,8,11,8,0,6619.45,23742.2,305,48,48,19,epsilon,0.00256,2,0,11.942,
477,11,3,11,3,0,6721.88,24074.4,310,58,58,19,epsilon,0.00250,1,0,23.433,
478,16,7,16,7,0,6557.57,23802.8,289,66,66,13,certificate,0.00000,17,0,94.644,
479,11,5,11,5,0,7448.70,26888.5,339,69,69,19,epsilon,0.00256,1,0,58.070,
480,12,6,12,6,0,6410.83,23239.2,285,43,43,19,epsilon,0.00253,0,0,7.624,
481,15,8,15,8,0,7297.55,25392.8,358,71,71,19,epsilon,0.00245,0,0,41.182,
482,12,5,12,5,0,6119.60,20933.0,313,40,40,19,epsilon,0.00253,0,0,6.772,
483,15,6,15,6,0,6490.77,24238.9,262,48,48,19,epsilon,0.00256,0,0,12.136,
484,14,7,14,7,0,6979.46,25467.3,304,51,51,19,epsilon,0.00252,0,0,16.533,
485,12,5,12,5,0,6542.92,23104.6,313,52,52,19,epsilon,0.00255,0,0,18.017,
486,14,5,14,5,0,6296.47,22442.3,290,45,45,19,epsilon,0.00256,0,0,17.830,
487,10,4,10,4,0,6498.55,22832.7,315,48,48,19,epsilon,0.00253,0,0,27.559,
488,14,6,14,6,0,7353.06,26595.3,329,63,63,19,epsilon,0.00251,0,0,24.375,
489,15,6,15,6,0,7070.09,26200.5,294,54,54,19,epsilon,0.00247,0,0,79.035,
490,14,8,14,8,0,8667.51,28267.5,492,73,73,19,epsilon,0.00245,0,0,141.713,
491,16,4,16,4,0,6165.84,22714.2,258,56,56,16,certificate,0.00000,0,0,35.506,
492,16,7,16,7,0,5614.75,21308.8,217,62,62,12,certificate,0.00000,0,0,33.022,
493,11,6,11,6,0,6152.09,21890.5,288,49,49,19,epsilon,0.00256,0,0,48.913,
494,14,7,14,7,0,6808.61,23693.1,335,60,60,19,epsilon,0.00256,0,0,34.427,
495,10,5,10,5,0,6715.12,23190.6,340,59,59,19,epsilon,0.00248,0,0,23.400,
496,12,6,12,6,0,8099.86,27774.3,415,76,76,19,epsilon,0.00256,1,0,133.592,
497,11,8,11,8,0,6254.60,21828.0,306,38,38,19,epsilon,0.00256,0,0,11.121,
498,11,5,11,5,0,6568.65,22643.2,332,47,47,19,epsilon,0.00253,1,0,16.770,
499,16,5,16,5,0,6541.74,24283.7,271,68,68,14,certificate,0.00000,0,0,52.831,
500,10,3,10,3,0,6193.39,21501.9,310,49,49,19,epsilon,0.00252,0,0,15.337,
501,12,5,12,5,0,5963.86,21629.3,264,38,38,19,epsilon,0.00253,1,0,8.222,
502,12,4,12,4,0,6233.26,21811.3,304,41,41,19,epsilon,0.00248,0,0,7.656,
503,14,3,14,3,0,6558.23,23791.2,289,46,46,19,epsilon,0.00256,0,0,20.953,
504,10,6,10,6,0,6027.88,20274.4,321,41,41,19,epsilon,0.00256,0,0,15.572,
505,11,5,11,5,0,6086.74,20758.7,314,39,39,19,epsilon,0.00250,0,0,7.423,
506,14,6,14,6,0,6655.66,23293.3,322,48,48,19,epsilon,0.00252,0,0,42.670,
507,11,8,11,8,0,6378.86,22694.3,298,33,33,19,epsilon,0.00251,1,0,7.200,
508,11,9,11,9,0,7397.06,26730.3,334,58,58,19,epsilon,0.00250,12,0,23.462,
509,15,7,15,7,0,7635.45,27562.2,343,71,71,19,epsilon,0.00272,0,0,61.610,
510,13,5,13,5,0,6039.99,22074.9,261,39,39,19,epsilon,0.00251,1,0,22.981,
511,10,5,10,5,0,6514.23,22726.1,322,43,43,19,epsilon,0.00256,0,0,25.977,
512,13,4,13,4,0,6465.59,23853.0,273,46,46,19,epsilon,0.00256,0,0,13.733,
513,12,3,12,3,0,7030.18,23555.9,376,61,61,19,epsilon,0.00249,0,0,88.949,
514,16,9,16,9,0,6870.41,25417.0,287,63,63,18,certificate,0.00000,0,0,32.224,
515,11,6,11,6,0,7149.39,25641.9,329,56,56,19,epsilon,0.00251,0,0,28.753,
516,10,7,10,7,0,6401.79,22389.0,313,50,50,19,epsilon,0.00256,0,0,20.776,
517,14,6,14,6,0,7337.79,25708.9,356,68,68,19,epsilon,0.00240,0,0,39.709,
518,12,7,12,7,0,5973.20,21586.0,268,42,42,19,epsilon,0.00256,0,0,11.076,
519,12,7,12,7,0,7260.91,26739.5,312,53,53,19,epsilon,0.00253,3,0,16.216,
520,10,8,10,8,0,6601.25,23856.3,297,36,36,19,epsilon,0.00254,0,0,14.032,
521,10,8,10,8,0,5794.48,19567.4,307,36,36,19,epsilon,0.00253,0,0,11.347,
522,12,5,12,5,0,7026.11,24525.5,345,53,53,19,epsilon,0.00256,0,0,44.300,
523,15,8,15,8,0,6636.66,24053.3,294,55,55,19,epsilon,0.00256,0,0,14.171,
524,14,6,14,6,0,6650.73,23423.7,317,53,53,19,epsilon,0.00248,0,0,20.143,
525,10,3,10,3,0,6401.39,22527.0,308,40,40,19,epsilon,0.00256,0,0,16.217,
526,15,8,15,8,0,6616.13,22455.7,342,52,52,19,epsilon,0.00251,0,0,21.270,
527,12,5,12,5,0,6051.56,21802.8,272,36,36,19,epsilon,0.00246,0,0,13.697,
528,16,5,16,5,0,5828.34,22111.7,222,44,44,14,certificate,0.00000,0,0,25.480,
529,11,6,11,6,0,6568.69,23553.5,303,49,49,19,epsilon,0.00250,1,0,26.901,
530,10,5,10,5,0,6234.32,21006.6,332,47,47,19,epsilon,0.00256,0,0,10.777,
531,12,6,12,6,0,6967.69,25268.5,311,57,57,19,epsilon,0.00250,0,0,16.104,
532,16,10,16,10,0,5717.97,21474.8,226,47,47,14,certificate,0.00000,1,0,26.097,
533,12,5,12,5,0,5993.51,21532.5,272,39,39,19,epsilon,0.00250,1,0,12.240,
534,10,5,10,5,0,6359.38,21611.9,331,44,44,19,epsilon,0.00251,0,0,14.825,
535,14,2,14,2,0,6957.75,25323.8,305,61,61,19,epsilon,0.00256,0,0,27.615,
536,12,7,12,7,0,6831.85,24109.3,326,51,51,19,epsilon,0.00249,0,0,22.589,
537,12,6,12,6,0,6463.42,22747.1,311,63,63,19,epsilon,0.00256,1,0,23.315,
538,13,10,13,10,0,6666.77,23783.9,309,54,54,19,epsilon,0.00252,2,0,23.466,
539,13,7,13,7,0,6390.50,22792.5,296,46,46,19,epsilon,0.00254,0,0,15.893,
540,16,6,16,6,0,6462.80,24619.0,246,62,62,13,certificate,0.00000,2,0,26.775,
541,14,8,14,8,0,6684.05,24195.2,298,57,57,19,epsilon,0.00256,0,0,16.274,
542,16,9,16,9,0,7176.79,25683.9,330,78,78,14,certificate,0.00000,1,0,57.701,
543,16,9,16,9,0,6819.10,24720.5,300,65,65,11,certificate,0.00000,13,0,66.226,
544,12,9,12,9,0,6665.73,22238.7,360,51,51,19,epsilon,0.00249,0,0,16.619,
545,12,2,12,2,0,7097.94,25444.7,328,70,70,19,epsilon,0.00253,1,0,42.460,
546,13,6,13,6,0,7387.06,26035.3,355,78,78,19,epsilon,0.00240,0,0,56.744,
547,14,8,14,8,0,6200.08,22980.4,257,42,42,19,epsilon,0.00245,0,0,12.083,
548,10,5,10,5,0,6058.92,21554.6,284,38,38,19,epsilon,0.00251,0,0,9.574,
549,12,8,12,8,0,6433.60,23598.0,277,48,48,19,epsilon,0.00253,1,0,9.991,
550,14,7,14,7,0,6685.66,24318.3,293,48,48,19,epsilon,0.00256,0,0,18.937,
551,16,9,16,9,0,7025.69,25668.4,303,59,59,14,certificate,0.00000,1,0,39.869,
552,11,3,11,3,0,6080.36,21371.8,293,40,40,19,epsilon,0.00253,0,0,13.042,
553,12,5,12,5,0,5994.20,21986.0,258,38,38,19,epsilon,0.00251,0,0,9.012,
554,13,7,13,7,0,6318.53,23002.7,277,43,43,19,epsilon,0.00256,0,0,12.522,
555,13,7,13,7,0,6283.32,22316.6,294,50,50,19,epsilon,0.00252,0,0,13.138,
556,12,3,12,3,0,6837.60,24818.0,303,50,50,19,epsilon,0.00256,0,0,33.151,
557,16,6,16,6,0,5990.48,22727.4,230,56,56,15,certificate,0.00000,0,0,22.559,
558,11,8,11,8,0,7106.17,25955.9,312,52,52,19,epsilon,0.00250,3,0,20.637,
559,10,5,10,5,0,6504.10,21945.5,346,44,44,19,epsilon,0.00249,0,0,11.450,
