trial,n_sources,cleared,remaining,time_s,walk_m,measures,replans,wall_s,cover_visits,cover_visits_at_first_clear,stop_reason
675,15,15,0,3719.5051,14337.5256,130,25,0.676363,7,2,certificate
676,13,13,0,3251.2179,11601.0893,145,22,0.703777,7,3,certificate
677,14,14,0,4138.5477,15767.7383,153,23,0.339077,7,2,certificate
678,13,13,0,3747.1304,14555.6521,129,23,0.833576,7,2,certificate
679,10,10,0,3579.0905,13300.4525,145,20,0.386136,7,2,certificate
680,12,12,0,3469.9846,12704.9231,145,21,0.429820,7,2,certificate
681,12,12,0,3558.9359,13424.6796,136,22,0.470449,7,3,certificate
682,15,15,0,3912.2319,15071.1595,138,27,0.659500,7,2,certificate
683,11,11,0,3086.6058,11023.0289,138,18,0.561291,7,2,certificate
684,10,10,0,3064.1966,10280.9829,160,19,0.372488,7,3,certificate
685,12,12,0,4024.5243,15717.6214,137,25,0.568611,7,2,certificate
686,10,10,0,3082.9917,11429.9584,125,19,0.494225,7,2,certificate
687,11,11,0,3586.3025,13421.5123,141,21,0.588210,7,2,certificate
688,12,12,0,4184.0732,16640.3660,133,22,0.399306,7,2,certificate
689,12,12,0,3293.7559,12283.7794,130,20,0.504155,7,2,certificate
690,14,14,0,3850.5467,14837.7334,136,25,0.694520,7,2,certificate
691,11,11,0,3108.5309,11147.6546,138,19,0.399167,7,2,certificate
692,13,13,0,3805.1816,14845.9081,129,19,0.507664,7,2,certificate
693,12,12,0,3652.9223,13909.6117,135,22,0.497187,7,2,certificate
694,10,10,0,3298.9348,11869.6741,146,18,0.419853,7,2,certificate
695,15,15,0,3078.0595,10770.2974,142,24,0.549104,7,2,certificate
696,15,15,0,4358.8979,16754.4894,156,27,0.741661,7,3,certificate
697,15,15,0,3954.7484,14953.7422,149,25,1.440534,7,2,certificate
698,10,10,0,3699.9970,14359.9848,130,17,0.367882,7,2,certificate
699,16,16,0,4162.8607,16354.3037,136,28,0.867348,7,2,certificate
700,13,13,0,3901.9190,15704.5950,117,28,1.104472,7,2,certificate
701,14,14,0,3526.0438,12830.2191,149,24,0.595381,7,3,certificate
702,10,10,0,3890.0503,15105.2515,137,20,0.407916,7,2,certificate
703,16,16,0,3712.7047,14298.5233,129,27,0.823945,7,2,certificate
704,12,12,0,3205.1162,11835.5811,130,23,0.962388,7,2,certificate
705,11,11,0,3386.1329,12800.6643,129,20,0.504064,7,2,certificate
706,14,14,0,3829.3514,14526.7569,143,22,0.472092,7,2,certificate
707,12,12,0,3736.8527,14059.2635,145,21,0.406836,7,2,certificate
708,15,15,0,3652.5547,13577.7736,144,21,0.492739,7,2,certificate
709,16,16,0,3973.1959,15130.9796,145,24,0.438022,7,2,certificate
710,13,13,0,4086.5876,15827.9380,143,21,0.414671,7,3,certificate
711,11,11,0,3258.5109,11862.5545,139,21,0.555091,7,2,certificate
